id_test,function_name,array_length,comparison,time,space
89,advanced_sequantial_search,341000,96410,0.2361280918121338,0.0
89,binary_search,341000,55,0.20217442512512207,0.0
90,sequantial_search,361000,361000,0.28559160232543945,0.0
90,advanced_sequantial_search,361000,227582,0.25643038749694824,0.0
90,binary_search,361000,55,0.2024245262145996,0.0
91,sequantial_search,361000,361000,0.2867014408111572,0.0
91,advanced_sequantial_search,361000,503586,0.3270754814147949,0.0
91,binary_search,361000,55,0.20187830924987793,0.0
92,sequantial_search,361000,22749,0.21227383613586426,0.0
92,advanced_sequantial_search,361000,45497,0.22564363479614258,0.0
92,binary_search,361000,44,0.20144057273864746,0.0
93,sequantial_search,361000,361000,0.29940342903137207,0.0
93,advanced_sequantial_search,361000,522428,0.33997321128845215,0.0
93,binary_search,361000,55,0.20106101036071777,0.0
94,sequantial_search,361000,361000,0.28585314750671387,0.0
94,advanced_sequantial_search,361000,26892,0.21138978004455566,0.0
94,binary_search,361000,55,0.20219016075134277,0.0
95,sequantial_search,381000,313905,0.28070807456970215,0.0
95,advanced_sequantial_search,381000,627809,0.3528921604156494,0.0
95,binary_search,381000,55,0.2021639347076416,0.0
96,sequantial_search,381000,314703,0.2798495292663574,0.0
96,advanced_sequantial_search,381000,629405,0.361011266708374,0.0
96,binary_search,381000,53,0.2023320198059082,0.0
97,sequantial_search,381000,381000,0.3131551742553711,0.0
97,advanced_sequantial_search,381000,55176,0.21660828590393066,0.0
97,binary_search,381000,55,0.20151305198669434,0.0
98,sequantial_search,381000,381000,0.2864363193511963,0.0
98,advanced_sequantial_search,381000,753652,0.38682985305786133,0.0
98,binary_search,381000,55,0.20088529586791992,0.0
99,sequantial_search,381000,381000,0.30576205253601074,0.0
99,advanced_sequantial_search,381000,441744,0.31137919425964355,0.0
99,binary_search,381000,55,0.20179319381713867,0.0
100,sequantial_search,401000,212999,0.2564055919647217,0.0
100,advanced_sequantial_search,401000,425997,0.2998850345611572,0.0
100,binary_search,401000,55,0.20172524452209473,0.0
101,sequantial_search,401000,235012,0.26364970207214355,0.0
101,advanced_sequantial_search,401000,470023,0.3156623840332031,0.0
101,binary_search,401000,53,0.2017505168914795,0.0
102,sequantial_search,401000,401000,0.2988426685333252,0.0
102,advanced_sequantial_search,401000,431594,0.28725409507751465,0.0
102,binary_search,401000,55,0.20172476768493652,0.0
103,sequantial_search,401000,339013,0.2930901050567627,0.00390625
103,advanced_sequantial_search,401000,678025,0.3698742389678955,0.0
103,binary_search,401000,53,0.2012345790863037,0.0
104,sequantial_search,401000,401000,0.3196892738342285,0.0
104,advanced_sequantial_search,401000,355090,0.34956955909729004,0.0
104,binary_search,401000,55,0.20206308364868164,0.0
105,sequantial_search,421000,421000,0.2911674976348877,0.0
105,advanced_sequantial_search,421000,323726,0.27967333793640137,0.0
105,binary_search,421000,55,0.20166969299316406,0.0
106,sequantial_search,421000,421000,0.2829408645629883,0.0
106,advanced_sequantial_search,421000,117486,0.2401564121246338,0.0
106,binary_search,421000,55,0.20183730125427246,0.0
107,sequantial_search,421000,199158,0.243577241897583,0.0
107,advanced_sequantial_search,421000,398315,0.2772796154022217,0.0
107,binary_search,421000,55,0.20194649696350098,0.0
108,sequantial_search,421000,421000,0.271669864654541,0.0
108,advanced_sequantial_search,421000,753408,0.37352657318115234,0.0
108,binary_search,421000,55,0.20190834999084473,0.0
109,sequantial_search,421000,335943,0.26778316497802734,0.0
